plot,date_yyyymmdd,observed_by,subplot,species_code,cover_pct,height_cm,entered_by
d_201_shru_12,20220628,Adam,2,_litter,95,,Adam
d_201_shru_12,20220628,Adam,2,_bare,5,,Adam
d_201_shru_12,20220628,Adam,2,kosc,1,9,Adam
d_201_shru_12,20220628,Adam,2,satr,3,7,Adam
d_201_shru_12,20220628,Adam,2,elre,8,30,Adam
d_201_shru_12,20220628,Adam,2,brte,4,36,Adam
d_201_shru_12,20220628,Adam,3,_litter,25,,Adam
d_201_shru_12,20220628,Adam,3,_bare,75,,Adam
d_201_shru_12,20220628,Adam,3,kosc,3,20,Adam
d_201_shru_12,20220628,Adam,3,satr,6,11,Adam
d_201_shru_12,20220628,Adam,3,brte,0.5,20,Adam
d_201_shru_12,20220628,Adam,3,mesa,3,37,Adam
d_201_shru_12,20220628,Adam,4,_litter,85,,Adam
d_201_shru_12,20220628,Adam,4,_bare,15,,Adam
d_201_shru_12,20220628,Adam,4,kosc,1,12,Adam
d_201_shru_12,20220628,Adam,4,satr,7,9,Adam
d_201_shru_12,20220628,Adam,4,elre,3,16,Adam
d_201_shru_12,20220628,Adam,4,brte,3,26,Adam
d_201_shru_12,20220628,Adam,999,atca,0.5,,Adam
d_201_shru_12,20220628,Adam,999,deso,0.5,,Adam
d_201_shru_12,20220628,Adam,999,bocu,0.5,,Adam
d_175_herb_11,20220628,Adam,1,_litter,100,,Adam
d_175_herb_11,20220628,Adam,1,_bare,0,,Adam
d_175_herb_11,20220628,Adam,1,brte,7,23,Adam
d_175_herb_11,20220628,Adam,1,kosc,3,12,Adam
d_175_herb_11,20220628,Adam,1,satr,0.5,5,Adam
d_175_herb_11,20220628,Adam,1,elre,1,21,Adam
d_175_herb_11,20220628,Adam,2,_litter,100,,Adam
d_175_herb_11,20220628,Adam,2,_bare,0,,Adam
d_175_herb_11,20220628,Adam,2,brte,9,15,Adam
d_175_herb_11,20220628,Adam,2,kosc,8,12,Adam
d_175_herb_11,20220628,Adam,2,satr,5,11,Adam
d_175_herb_11,20220628,Adam,2,sece,1,34,Adam
d_175_herb_11,20220628,Adam,2,sial,0.5,24,Adam
d_175_herb_11,20220628,Adam,3,_litter,100,,Adam
d_175_herb_11,20220628,Adam,3,_bare,0,,Adam
d_175_herb_11,20220628,Adam,3,brte,11,17,Adam
d_175_herb_11,20220628,Adam,3,kosc,10,9,Adam
d_175_herb_11,20220628,Adam,3,satr,0.5,6,Adam
d_175_herb_11,20220628,Adam,3,bogr,3,8,Adam
d_175_herb_11,20220628,Adam,4,_litter,95,,Adam
d_175_herb_11,20220628,Adam,4,_bare,5,,Adam
d_175_herb_11,20220628,Adam,4,brte,9,21,Adam
d_175_herb_11,20220628,Adam,4,kosc,3,10,Adam
d_175_herb_11,20220628,Adam,4,satr,2,14,Adam
d_175_herb_11,20220628,Adam,4,elre,1,20,Adam
d_175_herb_11,20220628,Adam,999,mesa,0.5,,Adam
d_175_herb_11,20220628,Adam,999,upg4,0.5,,Adam
d_175_herb_11,20220628,Adam,999,bocu,0.5,,Adam
d_175_herb_11,20220628,Adam,999,deso,0.5,,Adam
d_175_herb_11,20220628,Adam,999,coar,0.5,,Adam
d_174_herb_11,20220628,Adam,1,_litter,100,,Adam
d_174_herb_11,20220628,Adam,1,_bare,0,,Adam
d_174_herb_11,20220628,Adam,1,brte,2,15,Adam
d_174_herb_11,20220628,Adam,1,kosc,4,12,Adam
d_174_herb_11,20220628,Adam,1,satr,2,4,Adam
d_174_herb_11,20220628,Adam,1,sece,0.5,37,Adam
d_174_herb_11,20220628,Adam,2,_litter,92,,Adam
d_174_herb_11,20220628,Adam,2,_bare,8,,Adam
d_174_herb_11,20220628,Adam,2,kosc,2,15,Adam
d_174_herb_11,20220628,Adam,2,satr,4,19,Adam
d_174_herb_11,20220628,Adam,2,elre,3,26,Adam
d_174_herb_11,20220628,Adam,3,_litter,85,,Adam
d_174_herb_11,20220628,Adam,3,_bare,15,,Adam
d_174_herb_11,20220628,Adam,3,brte,2,10,Adam
d_174_herb_11,20220628,Adam,3,kosc,11,12,Adam
d_174_herb_11,20220628,Adam,3,satr,2,12,Adam
d_174_herb_11,20220628,Adam,3,elre,3,30,Adam
d_174_herb_11,20220628,Adam,4,_litter,80,,Adam
d_174_herb_11,20220628,Adam,4,_bare,20,,Adam
d_174_herb_11,20220628,Adam,4,brte,4,21,Adam
d_174_herb_11,20220628,Adam,4,kosc,3,8,Adam
d_174_herb_11,20220628,Adam,4,satr,5,8,Adam
d_174_herb_11,20220628,Adam,4,elre,4,39,Adam
d_174_herb_11,20220628,Adam,999,bogr,0.5,,Adam
d_174_herb_11,20220628,Adam,999,bocu,0.5,,Adam
d_174_herb_11,20220628,Adam,999,navi,0.5,,Adam
d_174_herb_11,20220628,Adam,999,mesa,0.5,,Adam
d_173_herb_11,20220628,Adam,1,_litter,95,,Adam
d_173_herb_11,20220628,Adam,1,_bare,5,,Adam
d_173_herb_11,20220628,Adam,1,brte,1,16,Adam
d_173_herb_11,20220628,Adam,1,kosc,7,8,Adam
d_173_herb_11,20220628,Adam,1,satr,5,8,Adam
d_173_herb_11,20220628,Adam,1,bogr,7,56,Adam
d_173_herb_11,20220628,Adam,2,_litter,100,,Adam
d_173_herb_11,20220628,Adam,2,_bare,0,,Adam
d_173_herb_11,20220628,Adam,2,brte,1,10,Adam
d_173_herb_11,20220628,Adam,2,kosc,1,5,Adam
d_173_herb_11,20220628,Adam,2,satr,3,6,Adam
d_173_herb_11,20220628,Adam,2,bocu,20,84,Adam
d_173_herb_11,20220628,Adam,3,_litter,92,,Adam
d_173_herb_11,20220628,Adam,3,_bare,8,,Adam
d_173_herb_11,20220628,Adam,3,kosc,1,4,Adam
d_173_herb_11,20220628,Adam,3,satr,6,12,Adam
d_173_herb_11,20220628,Adam,3,bogr,19,37,Adam
d_173_herb_11,20220628,Adam,4,_litter,10,,Adam
d_173_herb_11,20220628,Adam,4,_bare,90,,Adam
d_173_herb_11,20220628,Adam,4,kosc,1,11,Adam
d_173_herb_11,20220628,Adam,4,satr,10,9,Adam
d_173_herb_11,20220628,Adam,4,elre,1,25,Adam
d_173_herb_11,20220628,Adam,999,sece,0.5,,Adam
d_173_herb_11,20220628,Adam,999,upg4,0.5,,Adam
d_173_herb_11,20220628,Adam,999,sphe,0.5,,Adam
d_173_herb_11,20220628,Adam,999,navi,0.5,,Adam
d_173_herb_11,20220628,Adam,999,sial,0.5,,Adam
d_173_herb_11,20220628,Adam,999,mesa,0.5,,Adam
d_173_herb_11,20220628,Adam,999,coar,0.5,,Adam
d_172_herb_11,20220628,Adam,1,_litter,98,,Adam
d_172_herb_11,20220628,Adam,1,_bare,2,,Adam
d_172_herb_11,20220628,Adam,1,satr,1,6,Adam
d_172_herb_11,20220628,Adam,1,bocu,17,32,Adam
d_172_herb_11,20220628,Adam,2,_litter,94,,Adam
d_172_herb_11,20220628,Adam,2,_bare,6,,Adam
d_172_herb_11,20220628,Adam,2,satr,4,19,Adam
d_172_herb_11,20220628,Adam,2,bocu,14,29,Adam
d_172_herb_11,20220628,Adam,2,brte,1,22,Adam
d_172_herb_11,20220628,Adam,3,_litter,40,,Adam
d_172_herb_11,20220628,Adam,3,_bare,60,,Adam
d_172_herb_11,20220628,Adam,3,satr,2,7,Adam
d_172_herb_11,20220628,Adam,3,brte,2,18,Adam
d_172_herb_11,20220628,Adam,3,kosc,8,12,Adam
d_172_herb_11,20220628,Adam,4,_litter,100,,Adam
d_172_herb_11,20220628,Adam,4,_bare,0,,Adam
d_172_herb_11,20220628,Adam,4,satr,5,12,Adam
d_172_herb_11,20220628,Adam,4,brte,6,21,Adam
d_172_herb_11,20220628,Adam,4,mesa,0.5,46,Adam
d_172_herb_11,20220628,Adam,4,elre,1,24,Adam
d_172_herb_11,20220628,Adam,999,navi,0.5,,Adam
d_172_herb_11,20220628,Adam,999,sial,0.5,,Adam
d_172_herb_11,20220628,Adam,999,brin,0.5,,Adam
d_172_herb_11,20220628,Adam,999,sphe,0.5,,Adam
d_176_herb_11,20220627,Adam,1,_litter,99,,Adam
d_176_herb_11,20220627,Adam,1,_bare,1,,Adam
d_176_herb_11,20220627,Adam,1,brte,3,29,Adam
d_176_herb_11,20220627,Adam,1,kosc,20,10,Adam
d_176_herb_11,20220627,Adam,1,satr,0.5,8,Adam
d_176_herb_11,20220627,Adam,1,coar,2,9,Adam
d_176_herb_11,20220627,Adam,2,_litter,80,,Adam
d_176_herb_11,20220627,Adam,2,_bare,20,,Adam
d_176_herb_11,20220627,Adam,2,brte,6,36,Adam
d_176_herb_11,20220627,Adam,2,kosc,11,8,Adam
d_176_herb_11,20220627,Adam,2,satr,0.5,9,Adam
d_176_herb_11,20220627,Adam,2,coar,2,9,Adam
d_176_herb_11,20220627,Adam,3,_litter,100,,Adam
d_176_herb_11,20220627,Adam,3,_bare,0,,Adam
d_176_herb_11,20220627,Adam,3,brte,3,16,Adam
d_176_herb_11,20220627,Adam,3,kosc,13,9,Adam
d_176_herb_11,20220627,Adam,3,satr,0.5,11,Adam
d_176_herb_11,20220627,Adam,3,coar,3,13,Adam
d_176_herb_11,20220627,Adam,4,_litter,85,,Adam
d_176_herb_11,20220627,Adam,4,_bare,15,,Adam
d_176_herb_11,20220627,Adam,4,brte,4,11,Adam
d_176_herb_11,20220627,Adam,4,kosc,11,8,Adam
d_176_herb_11,20220627,Adam,4,satr,1,8,Adam
d_176_herb_11,20220627,Adam,4,coar,2,8,Adam
d_176_herb_11,20220627,Adam,4,navi,0.5,30,Adam
d_176_herb_11,20220627,Adam,999,sece,0.5,,Adam
d_176_herb_11,20220627,Adam,999,bocu,0.5,,Adam
d_176_herb_11,20220627,Adam,999,elre,0.5,,Adam
d_176_herb_11,20220627,Adam,999,sial,0.5,,Adam
d_176_herb_11,20220627,Adam,999,mesa,0.5,,Adam
d_177_herb_11,20220627,Adam,1,_litter,85,,Adam
d_177_herb_11,20220627,Adam,1,_bare,5,,Adam
d_177_herb_11,20220627,Adam,1,satr,3,10,Adam
d_177_herb_11,20220627,Adam,1,kosc,8,20,Adam
d_177_herb_11,20220627,Adam,1,bocu,16,82,Adam
d_177_herb_11,20220627,Adam,1,sial,0.5,8,Adam
d_177_herb_11,20220627,Adam,2,_litter,93,,Adam
d_177_herb_11,20220627,Adam,2,_bare,7,,Adam
d_177_herb_11,20220627,Adam,2,satr,4,20,Adam
d_177_herb_11,20220627,Adam,2,kosc,12,20,Adam
d_177_herb_11,20220627,Adam,2,bocu,1,85,Adam
d_177_herb_11,20220627,Adam,2,mesa,1,23,Adam
d_177_herb_11,20220627,Adam,3,_litter,100,,Adam
d_177_herb_11,20220627,Adam,3,_bare,0,,Adam
d_177_herb_11,20220627,Adam,3,satr,5,20,Adam
d_177_herb_11,20220627,Adam,3,bocu,7,83,Adam
d_177_herb_11,20220627,Adam,3,mesa,3,53,Adam
d_177_herb_11,20220627,Adam,3,elre,4,37,Adam
d_177_herb_11,20220627,Adam,4,_litter,98,,Adam
d_177_herb_11,20220627,Adam,4,_bare,2,,Adam
d_177_herb_11,20220627,Adam,4,satr,1,21,Adam
d_177_herb_11,20220627,Adam,4,kosc,1,20,Adam
d_177_herb_11,20220627,Adam,4,bocu,7,49,Adam
d_177_herb_11,20220627,Adam,4,mesa,13,40,Adam
d_177_herb_11,20220627,Adam,4,elre,0.5,21,Adam
d_177_herb_11,20220627,Adam,4,brte,1,20,Adam
d_177_herb_11,20220627,Adam,999,sphe,0.5,,Adam
d_177_herb_11,20220627,Adam,999,navi,0.5,,Adam
d_177_herb_11,20220627,Adam,999,upg4,0.5,,Adam
d_178_herb_11,20220627,Adam,1,_litter,100,,Adam
d_178_herb_11,20220627,Adam,1,_bare,0,,Adam
d_178_herb_11,20220627,Adam,1,brte,4,22,Adam
d_178_herb_11,20220627,Adam,1,elre,14,35,Adam
d_178_herb_11,20220627,Adam,1,kosc,4,11,Adam
d_178_herb_11,20220627,Adam,1,satr,1,3,Adam
d_178_herb_11,20220627,Adam,1,mesa,6,58,Adam
d_178_herb_11,20220627,Adam,2,_litter,85,,Adam
d_178_herb_11,20220627,Adam,2,_bare,15,,Adam
d_178_herb_11,20220627,Adam,2,brte,8,24,Adam
d_178_herb_11,20220627,Adam,2,kosc,9,20,Adam
d_178_herb_11,20220627,Adam,2,satr,2,7,Adam
d_178_herb_11,20220627,Adam,3,_litter,96,,Adam
d_178_herb_11,20220627,Adam,3,_bare,4,,Adam
d_178_herb_11,20220627,Adam,3,brte,4,24,Adam
d_178_herb_11,20220627,Adam,3,elre,3,34,Adam
d_178_herb_11,20220627,Adam,3,kosc,4,9,Adam
d_178_herb_11,20220627,Adam,3,satr,1,6,Adam
d_178_herb_11,20220627,Adam,4,_litter,60,,Adam
d_178_herb_11,20220627,Adam,4,_bare,40,,Adam
d_178_herb_11,20220627,Adam,4,brte,0.5,25,Adam
d_178_herb_11,20220627,Adam,4,elre,7,22,Adam
d_178_herb_11,20220627,Adam,4,kosc,2,17,Adam
d_178_herb_11,20220627,Adam,4,satr,2,11,Adam
d_178_herb_11,20220627,Adam,999,bocu,0.5,,Adam
d_178_herb_11,20220627,Adam,999,sece,0.5,,Adam
d_178_herb_11,20220627,Adam,999,brin,0.5,,Adam
d_179_herb_11,20220627,Adam,1,_litter,95,,Adam
d_179_herb_11,20220627,Adam,1,_bare,5,,Adam
d_179_herb_11,20220627,Adam,1,brte,7,20,Adam
d_179_herb_11,20220627,Adam,1,satr,3,13,Adam
d_179_herb_11,20220627,Adam,1,bocu,20,30,Adam
d_179_herb_11,20220627,Adam,2,_litter,25,,Adam
d_179_herb_11,20220627,Adam,2,_bare,75,,Adam
d_179_herb_11,20220627,Adam,2,satr,4,11,Adam
d_179_herb_11,20220627,Adam,2,elre,4,41,Adam
d_179_herb_11,20220627,Adam,2,kosc,0.5,6,Adam
d_179_herb_11,20220627,Adam,3,_litter,99,,Adam
d_179_herb_11,20220627,Adam,3,_bare,1,,Adam
d_179_herb_11,20220627,Adam,3,satr,0.5,9,Adam
d_179_herb_11,20220627,Adam,3,mesa,2,12,Adam
d_179_herb_11,20220627,Adam,3,elre,24,38,Adam
d_179_herb_11,20220627,Adam,4,_litter,85,,Adam
d_179_herb_11,20220627,Adam,4,_bare,15,,Adam
d_179_herb_11,20220627,Adam,4,brte,11,19,Adam
d_179_herb_11,20220627,Adam,4,satr,7,10,Adam
d_179_herb_11,20220627,Adam,4,kosc,0.5,9,Adam
d_179_herb_11,20220627,Adam,999,sece,0.5,,Adam
d_179_herb_11,20220627,Adam,999,erna,0.5,,Adam
d_179_herb_11,20220627,Adam,999,sial,0.5,,Adam
d_179_herb_11,20220627,Adam,999,upg4,0.5,,Adam
d_179_herb_11,20220627,Adam,999,navi,0.5,,Adam
d_163_shru_10,20220627,Adam,1,_litter,50,,Adam
d_163_shru_10,20220627,Adam,1,_bare,50,,Adam
d_163_shru_10,20220627,Adam,1,elre,5,18,Adam
d_163_shru_10,20220627,Adam,1,kosc,2,14,Adam
d_163_shru_10,20220627,Adam,1,satr,5,12,Adam
d_163_shru_10,20220627,Adam,2,_litter,100,,Adam
d_163_shru_10,20220627,Adam,2,_bare,0,,Adam
d_163_shru_10,20220627,Adam,2,elre,10,20,Adam
d_163_shru_10,20220627,Adam,2,kosc,5,11,Adam
d_163_shru_10,20220627,Adam,2,satr,3,15,Adam
d_163_shru_10,20220627,Adam,2,brte,3,37,Adam
d_163_shru_10,20220627,Adam,2,bocu,10,15,Adam
d_163_shru_10,20220627,Adam,2,sece,0,43,Adam
d_163_shru_10,20220627,Adam,3,_litter,100,,Adam
d_163_shru_10,20220627,Adam,3,_bare,0,,Adam
d_163_shru_10,20220627,Adam,3,elre,16,24,Adam
d_163_shru_10,20220627,Adam,3,kosc,2,12,Adam
d_163_shru_10,20220627,Adam,3,satr,2,10,Adam
d_163_shru_10,20220627,Adam,3,brte,1,23,Adam
d_163_shru_10,20220627,Adam,3,sece,0.5,42,Adam
d_163_shru_10,20220627,Adam,4,_litter,100,,Adam
d_163_shru_10,20220627,Adam,4,_bare,0,,Adam
d_163_shru_10,20220627,Adam,4,elre,1,19,Adam
d_163_shru_10,20220627,Adam,4,kosc,0.5,7,Adam
d_163_shru_10,20220627,Adam,4,satr,7,9,Adam
d_163_shru_10,20220627,Adam,4,brte,6,17,Adam
d_163_shru_10,20220627,Adam,4,sece,0.5,39,Adam
d_163_shru_10,20220627,Adam,999,atca,0.5,,Adam
d_163_shru_10,20220627,Adam,999,mesa,0.5,,Adam
d_164_shru_10,20220627,Adam,1,_litter,90,,Adam
d_164_shru_10,20220627,Adam,1,_bare,10,,Adam
d_164_shru_10,20220627,Adam,1,elre,25,30,Adam
d_164_shru_10,20220627,Adam,1,kosc,2,7,Adam
d_164_shru_10,20220627,Adam,1,satr,2,9,Adam
d_164_shru_10,20220627,Adam,1,atca,13,142,Adam
d_164_shru_10,20220627,Adam,1,sece,0.5,35,Adam
d_164_shru_10,20220627,Adam,2,_litter,45,,Adam
d_164_shru_10,20220627,Adam,2,_bare,55,,Adam
d_164_shru_10,20220627,Adam,2,elre,1,35,Adam
d_164_shru_10,20220627,Adam,2,kosc,0.5,5,Adam
d_164_shru_10,20220627,Adam,2,satr,6,13,Adam
d_164_shru_10,20220627,Adam,3,_litter,95,,Adam
d_164_shru_10,20220627,Adam,3,_bare,5,,Adam
d_164_shru_10,20220627,Adam,3,elre,12,28,Adam
d_164_shru_10,20220627,Adam,3,kosc,5,15,Adam
d_164_shru_10,20220627,Adam,3,satr,8,10,Adam
d_164_shru_10,20220627,Adam,4,_litter,50,,Adam
d_164_shru_10,20220627,Adam,4,_bare,50,,Adam
d_164_shru_10,20220627,Adam,4,elre,3,17,Adam
d_164_shru_10,20220627,Adam,4,kosc,4,11,Adam
d_164_shru_10,20220627,Adam,4,satr,6,7,Adam
d_164_shru_10,20220627,Adam,999,sial,0.5,,Adam
d_164_shru_10,20220627,Adam,999,deso,0.5,,Adam
d_164_shru_10,20220627,Adam,999,chbe,0.5,,Adam
d_165_shru_10,20220627,Adam,1,_litter,35,,Adam
d_165_shru_10,20220627,Adam,1,_bare,65,,Adam
d_165_shru_10,20220627,Adam,1,elre,4,17,Adam
d_165_shru_10,20220627,Adam,1,satr,6,17,Adam
d_165_shru_10,20220627,Adam,1,kosc,3,19,Adam
d_165_shru_10,20220627,Adam,2,_litter,10,,Adam
d_165_shru_10,20220627,Adam,2,_bare,90,,Adam
d_165_shru_10,20220627,Adam,2,elre,1,14,Adam
d_165_shru_10,20220627,Adam,2,satr,3,15,Adam
d_165_shru_10,20220627,Adam,2,kosc,4,11,Adam
d_165_shru_10,20220627,Adam,2,atca,0.5,125,Adam
d_165_shru_10,20220627,Adam,3,_litter,80,,Adam
d_165_shru_10,20220627,Adam,3,_bare,20,,Adam
d_165_shru_10,20220627,Adam,3,elre,9,17,Adam
d_165_shru_10,20220627,Adam,3,satr,7,8,Adam
d_165_shru_10,20220627,Adam,3,kosc,8,11,Adam
d_165_shru_10,20220627,Adam,4,_litter,75,,Adam
d_165_shru_10,20220627,Adam,4,_bare,25,,Adam
d_165_shru_10,20220627,Adam,4,elre,7,21,Adam
d_165_shru_10,20220627,Adam,4,satr,2,11,Adam
d_165_shru_10,20220627,Adam,4,kosc,3,12,Adam
d_165_shru_10,20220627,Adam,999,mesa,0.5,,Adam
d_165_shru_10,20220627,Adam,999,brte,0.5,,Adam
d_165_shru_10,20220627,Adam,999,sece,0.5,,Adam
