2012Smp_No,Mgt_Strip,Strip_No,Land_Class,2001Smp_No,12CC_0_6in,12C_0_6in,12N_0_6in,12SOC_0_6,12CC_6_12,12C_6_12in,12N_6_12in,12SOC_6_12,12CC_0_1ft,12C_0_1ft,12N_0_1ft,12SOC_0_1,01CC_0_1ft,01CC_1_2ft,01CC_2_3ft,01CC_0_3ft,CC_diff,CC_n3diff,UTME_2012,UTMN_2012,ELEV_2001,ELEV_2012,ELEVDIFF,ChgClass_5,SLOPE,ASPECT,COSASP,POTSOLRAD,CURV,LNSCASINK,WETSINK,LNSCAFILL,WETFILL,SOILUNIT,UNITNAME
72,East,8,SideNorthface,114,4.8616,1.15,0.07,0.56637455,10.8188,1.75,0.06,0.45122449,7.8402,1.45,0.065,0.50879952,8.094925,9.3814,9.12293,8.866418333,-0.254725,-0.028729188,513489.318,4495143.672,1578.414916,1578.293,-0.121916,Eroded,8.479999,36.849998,0.800199,0.9408,-0.000799,5.289999,7.76,5.55,8.02,3,Colby loam 5 to 9 percent slope
73,East,8,Toe,115,4.1872,1.32,0.09,0.817334934,11.8304,1.96,0.07,0.539783914,8.0088,1.64,0.08,0.678559424,10.2629,11.17894,7.03756,9.493133333,-2.2541,-0.237445311,513511.814,4495249.498,1572.45227,1572.612,0.15973,Deposited,4.039999,34.139999,0.8277,0.971,0.002,5.55,8.76,5.55,8.76,2,Wagonwheel loam 2 to 5 percent slope
74,East,8,SideSouthface,116,4.412,1.27,0.09,0.740348139,11.4932,1.93,0.06,0.550264106,7.9526,1.6,0.075,0.645306122,2.02035,11.069876,8.527388,7.205871333,5.93225,0.823252279,513531.459,4495336.171,1572.86853,1572.809,-0.05953,Eroded,2.039999,162.580001,-0.9541,1.016499,-0.000399,4.09,7.98,4.09,7.98,4,Kim sandy loam 2 to 5 percent slope
76,East,8,SideSouthface,118,3.288,1.02,0.07,0.625282113,11.4932,2.09,0.07,0.710264106,7.3906,1.555,0.07,0.667773109,14.36044,10.92784,11.61436,12.30088,-6.96984,-0.56661312,513562.514,4495494.997,1576.340209,1576.345,0.004791,Unchanged,2.98,122.199996,-0.532899,1.0137,0.005599,4.32,7.829999,4.32,7.829999,4,Kim sandy loam 2 to 5 percent slope
77,East,8,SideSouthface,119,0.3656,0.54,0.06,0.496110444,0.9276,0.74,0.08,0.628643457,0.6466,0.64,0.07,0.562376951,0.88712,9.7369,14.9969,8.540306667,-0.24052,-0.028162923,513531.3,4495506.214,1577.74353,1577.759,0.01547,Unchanged,2.89,120.169998,-0.5026,1.012599,0.000399,3.279999,6.829999,3.279999,6.829999,4,Kim sandy loam 2 to 5 percent slope
78,East,8,SideSouthface,120,1.7144,0.84,0.08,0.634189676,7.8964,1.48,0.06,0.532052821,4.8054,1.16,0.07,0.583121248,5.23508,8.3119,3.8338,5.793593333,-0.42968,-0.074164681,513511.5,4495408.802,1574.234497,1574.312,0.077503,Deposited,2.609999,112.800003,-0.387499,1.0088,-0.000399,4.849999,8.5,4.849999,8.5,4,Kim sandy loam 2 to 5 percent slope
79,East,8,Toe,121,4.0748,1.39,0.1,0.900828331,3.85,0.91,0.06,0.447815126,3.9624,1.15,0.08,0.674321729,5.3495,10.699,8.18176,8.076753333,-1.3871,-0.1717398,513490.258,4495311.119,1572.311523,1572.275,-0.036523,Unchanged,1.299999,136.440002,-0.724699,1.0081,0.006,10.539999,14.88,10.939999,15.279999,2,Wagonwheel loam 2 to 5 percent slope
80,East,8,SideNorthface,122,3.6252,1.05,0.06,0.614801921,3.5128,0.92,0.06,0.498295318,3.569,0.985,0.06,0.556548619,5.46392,9.09712,12.07204,8.877693333,-1.89492,-0.213447337,513468.147,4495205.384,1575.170288,1575.224,0.053712,Deposited,4.38,22.819999,0.9217,0.964699,0.000399,5.079999,8.21,5.079999,8.21,3,Colby loam 5 to 9 percent slope
81,East,8,SideNorthface,123,1.4896,0.7,0.05,0.521176471,11.8304,2.12,0.08,0.699783914,6.66,1.41,0.065,0.610480192,1.57364,9.5548,10.01248,7.046973333,5.08636,0.721779374,513447.322,4495107.428,1582.034912,1582.011,-0.023912,Unchanged,5.15,30.729999,0.8596,0.961399,-0.001599,4.17,7.139999,4.17,7.139999,2,Wagonwheel loam 2 to 5 percent slope
82,East,8,Summit,124,6.2104,1.41,0.08,0.664453782,10.4816,1.66,0.05,0.401704682,8.346,1.535,0.065,0.533079232,6.29495,8.098,5.5312,6.641383333,2.05105,0.308828733,513428.023,4495012.753,1584.771728,1584.777,0.005272,Unchanged,2.38,39.240001,0.7745,0.984099,-0.0024,2.309999,6.039999,2.309999,6.039999,1,Wagonwheel loam 0 to 2 percent slope
83,East,8,Summit,125,8.0088,1.49,0.07,0.528559424,7.8964,1.42,0.06,0.472052821,7.9526,1.455,0.065,0.500306122,9.58304,9.3814,8.86828,9.277573333,-1.63044,-0.17573992,513407.516,4494915.472,1585.345703,1585.322,-0.023703,Unchanged,1.039999,116.260002,-0.4424,1.003999,-0.002,1.61,6.179999,1.61,6.179999,1,Wagonwheel loam 0 to 2 percent slope
84,East,8,Summit,126,5.9856,1.4,0.08,0.681440576,11.718,1.8,0.05,0.393277311,8.8518,1.6,0.065,0.537358944,8.86175,8.098,12.07204,9.677263333,-0.00995,-0.001028183,513386.671,4494818.705,1584.22937,1584.192,-0.03737,Unchanged,1.929999,226.789993,-0.6847,1.011299,-0.000799,3.069999,7.01,3.069999,7.01,1,Wagonwheel loam 0 to 2 percent slope
85,East,8,Summit,127,8.6832,1.81,0.09,0.76759904,10.7064,1.61,0.05,0.324717887,9.6948,1.71,0.07,0.546158463,8.64785,7.2664,9.78364,8.565963333,1.04695,0.122222097,513378.548,4494766.67,1583.474975,1583.414,-0.060975,Eroded,0.62,224.770004,-0.7099,1.0038,0.002799,6.739999,11.829999,6.739999,11.829999,2,Wagonwheel loam 2 to 5 percent slope
86,West,7,SideSouthface,128,8.6832,1.72,0.08,0.67759904,9.80274,1.6,0.05,0.42320048,9.24297,1.66,0.065,0.55039976,8.64785,13.21624,10.280828,10.71497267,0.59512,0.055540972,513294.632,4494774.968,1582.430908,1582.385,-0.045908,Unchanged,2.7,244.61,-0.428799,1.0101,-0.000799,4.34,7.949999,4.349999,7.96,2,Wagonwheel loam 2 to 5 percent slope
87,West,7,Summit,130,7.44465,1.65,0.08,0.756284514,7.89381,1.5,0.06,0.552363745,7.66923,1.575,0.07,0.65432413,8.264372,10.456172,8.4745,9.065014667,-0.595142,-0.065652624,513314.184,4494873.608,1583.484008,1583.583,0.098992,Deposited,2.49,246.919998,-0.391999,1.008499,-0.0012,3.69,7.38,3.69,7.38,1,Wagonwheel loam 0 to 2 percent slope
88,West,7,Summit,132,2.95305,1.01,0.08,0.655492197,6.32175,1.33,0.07,0.571086435,4.6374,1.17,0.075,0.613289316,8.09558,8.4106,11.38552,9.297233333,-3.45818,-0.371957966,513335.796,4494974.556,1584.630493,1584.591,-0.039493,Unchanged,3.91,267.630004,-0.0414,1.001899,-0.003599,3.539999,6.78,3.539999,6.78,1,Wagonwheel loam 0 to 2 percent slope
89,West,7,Summit,134,2.61618,0.97,0.07,0.655932773,8.67984,1.52,0.06,0.478002401,5.64801,1.245,0.065,0.566967587,6.949292,9.754796,10.01248,8.905522667,-1.301282,-0.146120789,513357.153,4495072.906,1584.184204,1584.211,0.026796,Unchanged,2.5,1.809999,0.999499,0.978299,0.000799,3.22,6.909999,3.22,6.909999,2,Wagonwheel loam 2 to 5 percent slope
90,West,7,SideNorthface,136,8.56755,1.5,0.06,0.471482593,8.0061,1.21,0.04,0.248883553,8.286825,1.355,0.05,0.360183073,9.93014,4.845164,11.68358,8.819628,-1.643315,-0.186324752,513379.858,4495165.354,1580.004028,1580.12,0.115972,Deposited,6.969999,20.219999,0.938399,0.9422,-0.001599,4.199999,6.869999,4.199999,6.869999,3,Colby loam 5 to 9 percent slope
91,West,7,Toe,138,3.62679,1.05,0.06,0.614611044,9.35358,1.35,0.03,0.227121248,6.490185,1.2,0.045,0.420866146,10.95608,11.8432,8.18176,10.32701333,-4.465895,-0.432447878,513395.602,4495241.824,1575.449951,1575.553,0.103049,Deposited,4.13,41.060001,0.754,0.9731,0.0172,8.77,11.949999,8.859999,12.05,3,Colby loam 5 to 9 percent slope
92,West,7,Toe,140,2.61618,0.9,0.08,0.585932773,2.84076,0.78,0.06,0.438972389,2.72847,0.84,0.07,0.512452581,3.7931,9.842468,11.858924,8.498164,-1.06463,-0.125277648,513420.024,4495350.521,1573.624267,1573.647,0.022733,Unchanged,1.85,106.150001,-0.2782,1.0045,0.006399,7.039999,11.029999,7.34,11.329999,2,Wagonwheel loam 2 to 5 percent slope
93,West,7,SideSouthface,142,0.81954,0.76,0.09,0.661615846,7.78152,1.44,0.07,0.505843938,4.30053,1.1,0.08,0.583729892,4.8977,10.105484,3.880772,6.294652,-0.59717,-0.094869422,513442.041,4495449.173,1576.149414,1576.086,-0.063414,Eroded,3.15,186,-0.994499,1.026399,-0.000399,4.42,7.869999,4.42,7.869999,4,Kim sandy loam 2 to 5 percent slope
94,West,7,SideSouthface,144,0.25809,0.68,0.08,0.649016807,0,0.65,0.08,0.65,0.129045,0.665,0.08,0.649508403,0.28622,6.1222,10.47016,5.626193333,-0.157175,-0.027936296,513419.472,4495516.389,1579.453125,1579.403,-0.050125,Eroded,7.309999,197.190002,-0.955299,1.057399,0.000799,3.88,6.5,3.88,6.5,4,Kim sandy loam 2 to 5 percent slope
95,West,7,Toe,146,4.18824,1.24,0.09,0.737210084,9.57816,1.64,0.07,0.490160864,6.8832,1.44,0.08,0.613685474,12.472628,11.8432,6.2653,10.19370933,-5.589428,-0.548321305,513398.768,4495417.765,1575.092041,1575.116,0.023959,Unchanged,1.639999,195.270004,-0.964699,1.013399,-0.001599,3.619999,7.73,3.619999,7.73,4,Kim sandy loam 2 to 5 percent slope
96,West,7,SideNorthface,148,0.70725,0.8,0.09,0.715096038,2.95305,0.85,0.07,0.495492197,1.83015,0.825,0.08,0.605294118,4.2053,14.58928,10.699,9.831193333,-2.37515,-0.241593255,513380.795,4495334.541,1574.615234,1574.769,0.153766,Deposited,3.569999,74.120002,0.2736,0.991999,-0.000799,4.449999,7.789999,4.449999,7.789999,2,Wagonwheel loam 2 to 5 percent slope
97,West,7,Toe,150,2.50389,1.02,0.09,0.719412965,0.48267,0.58,0.07,0.522056423,1.49328,0.8,0.08,0.620734694,0.5845,1.951988,1.6013,1.379262667,0.90878,0.658888276,513360.698,4495237.373,1577.286987,1577.537,0.250013,Deposited,5.07,88.18,0.0318,0.999599,0.0012,5.46,8.439999,5.46,8.439999,3,Colby loam 5 to 9 percent slope
98,West,7,SideNorthface,152,6.65862,1.28,0.06,0.480645858,7.55694,1.21,0.05,0.302804322,7.10778,1.245,0.055,0.39172509,8.702732,9.32596,9.316436,9.115042667,-1.594952,-0.174980201,513343.08,4495164.496,1580.781005,1580.941,0.159995,Deposited,6.199999,16.299999,0.9598,0.947399,-0.001599,4.949999,7.73,4.949999,7.73,3,Colby loam 5 to 9 percent slope
99,West,7,Summit,154,2.72847,0.93,0.08,0.602452581,6.99549,1.22,0.06,0.380205282,4.86198,1.075,0.07,0.491328932,6.598604,12.07204,12.07204,10.24756133,-1.736624,-0.169467051,513321.143,4495058.328,1584.277221,1584.248,-0.029221,Unchanged,1.879999,316.720001,0.727999,0.9882,0.000399,2.759999,6.739999,2.759999,6.739999,1,Wagonwheel loam 0 to 2 percent slope
100,West,7,Summit,156,5.53572,1.47,0.1,0.805447779,13.50831,2.08,0.07,0.458354142,9.522015,1.775,0.085,0.63190096,12.2147,13.44508,10.80686,12.15554667,-2.692685,-0.221519038,513300.7,4494963.646,1583.696899,1583.665,-0.031899,Unchanged,1.61,254.039993,-0.275,1.0039,0.002,4.619999,8.75,4.619999,8.75,1,Wagonwheel loam 0 to 2 percent slope
101,West,7,SideSouthface,158,4.74969,1.25,0.08,0.679809124,4.86198,1.11,0.07,0.526328932,4.805835,1.18,0.075,0.603069028,10.47016,10.01248,14.36044,11.61436,-5.664325,-0.48770014,513278.157,4494866.409,1582.841918,1582.835,-0.006918,Unchanged,2.509999,252.169998,-0.306199,1.0068,-0.0024,4.289999,7.98,4.289999,7.98,1,Wagonwheel loam 0 to 2 percent slope
102,West,7,SideSouthface,160,7.55694,1.72,0.1,0.812804322,8.90442,1.4,0.05,0.331042017,8.23068,1.56,0.075,0.571923169,9.141092,11.15668,10.47016,10.25597733,-0.910412,-0.088768917,513260.618,4494773.668,1581.421386,1581.292,-0.129386,Eroded,4.3,244.199996,-0.4352,1.016399,-0.000399,5.019999,8.17,5.17,8.31,2,Wagonwheel loam 2 to 5 percent slope
105,East,6,Summit,163,2.3916,0.91,0.08,0.622893157,10.70106,1.8,0.07,0.515358944,6.54633,1.355,0.075,0.56912605,1.553075,9.777115,7.62765,6.31928,4.993255,0.790162012,513204.481,4494950.857,1583.187011,1583.111,-0.076011,Eroded,1.889999,161.470001,-0.948199,1.0152,-0.000799,2.519999,6.48,2.519999,6.48,1,Wagonwheel loam 0 to 2 percent slope
106,East,6,Summit,164,1.04412,0.73,0.08,0.604655462,8.79213,1.63,0.08,0.574522209,4.918125,1.18,0.08,0.589588836,6.686276,6.4757,10.524755,7.895577,-1.768151,-0.223941961,513220.342,4495022.457,1584.201904,1584.242,0.040096,Unchanged,1.5,130.949996,-0.655399,1.008399,-0.000399,2.299999,6.5,2.299999,6.5,1,Wagonwheel loam 0 to 2 percent slope
107,East,6,SideNorthface,165,0.48267,0.74,0.08,0.682056423,0.25809,0.66,0.08,0.629016807,0.37038,0.7,0.08,0.655536615,0,10.80512,10.80512,7.203413333,0.37038,0.051417291,513241.847,4495120.37,1582.995117,1583.078,0.082883,Deposited,1.07,31.709999,0.8507,0.9922,0.0012,5.469999,10,5.469999,10,2,Wagonwheel loam 2 to 5 percent slope
108,East,6,SideNorthface,166,5.64801,1.28,0.08,0.601967587,13.17144,1.85,0.05,0.268794718,9.409725,1.565,0.065,0.435381152,13.42186,6.973465,7.721105,9.372143333,-4.012135,-0.428091511,513257.956,4495195.135,1582.274536,1582.364,0.089464,Deposited,2.5,79.239997,0.1867,0.9962,0.006,7.86,11.55,7.86,11.55,3,Colby loam 5 to 9 percent slope
109,East,6,SideNorthface,167,9.80274,1.79,0.07,0.61320048,12.04854,1.78,0.05,0.333596639,10.92564,1.785,0.06,0.473398559,11.272395,10.543844,6.973465,9.596568,-0.346755,-0.03613323,513279.879,4495293.277,1581.618652,1581.585,-0.033652,Unchanged,5.73,65.319999,0.417499,0.9803,-0.004,3.72,6.579999,3.72,6.579999,2,Wagonwheel loam 2 to 5 percent slope
110,East,6,Toe,168,3.28992,1.14,0.09,0.745051621,0.70725,0.85,0.09,0.765096038,1.998585,0.995,0.09,0.75507383,1.7417,2.7937,1.075268,1.870222667,0.256885,0.137355302,513300.877,4495390.9,1576.462768,1576.6,0.137232,Deposited,3.72,60.959999,0.485399,0.984799,0.000799,4.94,8.229999,4.94,8.229999,2,Wagonwheel loam 2 to 5 percent slope
111,East,6,SideSouthface,169,0.25809,0.65,0.07,0.619016807,0.1458,0.63,0.08,0.612496999,0.201945,0.64,0.075,0.615756903,0.373892,4.66982,9.5953,4.879670667,-0.171947,-0.035237419,513323.869,4495488.802,1576.658813,1576.673,0.014187,Unchanged,2.069999,164.330001,-0.9628,1.016899,0,4.96,8.84,4.96,8.84,4,Kim sandy loam 2 to 5 percent slope
112,East,6,SideSouthface,170,0.48267,0.83,0.09,0.772056423,0.1458,0.76,0.09,0.742496999,0.314235,0.795,0.09,0.757276711,0.33816,1.16294,10.898575,4.133225,-0.023925,-0.005788458,513288.484,4495505.735,1577.234619,1577.186,-0.048619,Unchanged,2.41,149.289993,-0.859799,1.0176,0.001599,3.349999,7.079999,3.349999,7.079999,1,Wagonwheel loam 0 to 2 percent slope
113,East,6,Toe,171,2.27931,0.85,0.07,0.576373349,0.37038,0.66,0.08,0.615536615,1.324845,0.755,0.075,0.595954982,1.013341,5.959,11.8432,6.271847,0.311504,0.049667028,513273.228,4495420.79,1576.902465,1576.987,0.084535,Deposited,2.24,59.080001,0.5138,0.990199,0,5.449999,9.25,5.449999,9.25,1,Wagonwheel loam 0 to 2 percent slope
114,East,6,SideNorthface,172,7.10778,1.35,0.06,0.49672509,7.89381,1.27,0.04,0.322363745,7.500795,1.31,0.05,0.409544418,5.6341,10.24439,7.29998,7.726156667,1.866695,0.24160719,513252.325,4495329.937,1581.398315,1581.595,0.196685,Deposited,6.09,35.52,0.813899,0.9569,-0.002,4.05,6.849999,4.05,6.849999,2,Wagonwheel loam 2 to 5 percent slope
115,East,6,SideSouthface,173,1.83015,0.86,0.07,0.640294118,9.69045,1.4,0.06,0.236680672,5.7603,1.13,0.065,0.438487395,11.069876,9.1675,4.6756,8.304325333,-5.309576,-0.639374758,513229.633,4495229.743,1583.392211,1583.358,-0.034211,Unchanged,2.359999,133.300003,-0.6858,1.0138,0.000399,3.319999,7.059999,3.319999,7.059999,2,Wagonwheel loam 2 to 5 percent slope
116,East,6,SideNorthface,174,5.64801,1.06,0.09,0.381967587,12.38541,2.12,0.08,0.633156062,9.01671,1.59,0.085,0.507561825,9.7369,12.30088,9.579452,10.53907733,-0.72019,-0.068335204,513209.065,4495135.991,1583.238281,1583.287,0.048719,Unchanged,1.259999,65.489997,0.4149,0.995599,0.001599,4.73,9.109999,4.739999,9.109999,2,Wagonwheel loam 2 to 5 percent slope
117,East,6,Summit,175,0.37038,0.58,0.06,0.535536615,9.35358,1.86,0.08,0.737121248,4.86198,1.22,0.07,0.636328932,0.812252,10.104788,8.2741,6.397046667,4.049728,0.633062132,513188.015,4495038.085,1584.715209,1584.723,0.007791,Unchanged,1.21,116.5,-0.4462,1.004699,-0.0024,2.68,7.09,2.68,7.09,1,Wagonwheel loam 0 to 2 percent slope
118,East,6,SideSouthface,176,10.36419,1.85,0.08,0.60579952,11.15022,1.62,0.05,0.281438175,10.757205,1.735,0.065,0.443618848,11.833125,7.8433,8.2741,9.316841667,-1.07592,-0.115481194,513165.617,4494940.264,1582.645751,1582.475,-0.170751,Eroded,3.91,209.580001,-0.8697,1.028699,0.0024,5,8.239999,5,8.239999,2,Wagonwheel loam 2 to 5 percent slope
119,East,6,SideSouthface,177,9.129,1.78,0.08,0.684081633,14.29434,2.22,0.06,0.503992797,11.71167,2,0.07,0.594037215,13.2467,8.1589,7.9485,9.7847,-1.53503,-0.15688064,513144.423,4494843.441,1578.977416,1579.073,0.095584,Deposited,3.44,221.11,-0.7534,1.022099,0.000799,5.55,8.92,5.55,8.92,2,Wagonwheel loam 2 to 5 percent slope
120,East,6,SideSouthface,178,1.94244,1.19,0.11,0.956813926,6.65862,1.61,0.11,0.810645858,4.30053,1.4,0.11,0.883729892,3.267068,11.858924,11.38552,8.837170667,1.033462,0.116944895,513127.573,4494771.297,1577.261474,1577.159,-0.102474,Eroded,1.679999,211.529998,-0.8524,1.012199,0,5.82,9.909999,5.829999,9.92,1,Wagonwheel loam 0 to 2 percent slope
121,West,5,SideSouthface,180,2.27931,1.03,0.09,0.756373349,6.8832,1.49,0.08,0.663685474,4.581255,1.26,0.085,0.710029412,3.7931,11.38552,12.75856,9.312393333,0.788155,0.084635063,513050.402,4494820.662,1577.881835,1577.88,-0.001835,Unchanged,2.25,155.020004,-0.906499,1.0173,0.0024,3.369999,7.17,3.369999,7.17,1,Wagonwheel loam 0 to 2 percent slope
122,West,5,SideSouthface,182,7.33236,1.77,0.09,0.889764706,8.67984,1.65,0.07,0.608002401,8.0061,1.71,0.08,0.748883553,7.95292,11.833125,8.468745,9.418263333,0.05318,0.005646476,513072.58,4494919.544,1580.106445,1580.102,-0.004445,Unchanged,2.67,196.699996,-0.957799,1.0216,0.001599,5.599999,9.22,5.599999,9.22,2,Wagonwheel loam 2 to 5 percent slope
123,West,5,Summit,184,7.22007,1.67,0.09,0.803244898,12.04854,2.03,0.06,0.583596639,9.634305,1.85,0.075,0.693420768,9.201468,9.964025,11.15668,10.107391,0.432837,0.042823811,513094.091,4495017.586,1583.589477,1583.684,0.094523,Deposited,4.079999,214.380004,-0.825299,1.028499,-0.002,3.759999,6.949999,3.759999,6.949999,1,Wagonwheel loam 0 to 2 percent slope
124,West,5,Summit,186,4.97427,1.38,0.08,0.782848739,13.39602,2.25,0.07,0.641834334,9.185145,1.815,0.075,0.712341537,10.711665,3.87188,7.123832,7.235792333,-1.52652,-0.210967912,513115.794,4495115.42,1584.723022,1584.889,0.165978,Deposited,0.589999,312.200012,0.6717,0.996599,-0.001599,1.61,6.739999,1.61,7.289999,2,Wagonwheel loam 2 to 5 percent slope
125,West,5,Summit,188,9.35358,1.93,0.09,0.807121248,10.02732,1.7,0.06,0.496240096,9.69045,1.815,0.075,0.651680672,11.369436,11.590743,7.665824,10.20866767,-1.678986,-0.164466712,513138.275,4495214.562,1584.796264,1584.945,0.148736,Deposited,2.119999,127.79,-0.6128,1.011199,0.004,4.829999,8.68,4.829999,8.68,1,Wagonwheel loam 0 to 2 percent slope
126,West,5,SideNorthface,190,4.18824,1.11,0.06,0.607210084,12.38541,2.02,0.06,0.533156062,8.286825,1.565,0.06,0.570183073,5.588188,0,7.198432,4.262206667,2.698637,0.633154892,513163.753,4495322.085,1585.212524,1585.355,0.142476,Deposited,4.76,61.959999,0.470099,0.981299,-0.0012,3.63,6.679999,3.63,6.679999,2,Wagonwheel loam 2 to 5 percent slope
127,West,5,SideNorthface,192,2.61618,0.96,0.07,0.645932773,13.17144,2.4,0.08,0.818794718,7.89381,1.68,0.075,0.732363745,5.768852,16.610527,7.304496,9.894625,2.124958,0.214758821,513183.692,4495410.819,1579.999145,1580.208,0.208855,Deposited,6.199999,40.04,0.7656,0.958899,0.002799,4.409999,7.199999,4.409999,7.199999,2,Wagonwheel loam 2 to 5 percent slope
128,West,5,SideSouthface,194,0.70725,0.8,0.08,0.715096038,0.37038,0.69,0.08,0.645536615,0.538815,0.745,0.08,0.680316327,0.296229,3.609085,12.543752,5.483022,0.242586,0.04424312,513205.095,4495508.417,1578.07727,1578.27,0.19273,Deposited,1.23,127.510002,-0.6089,1.006399,0.0024,2.92,7.32,2.92,7.32,1,Wagonwheel loam 0 to 2 percent slope
129,West,5,SideNorthface,196,3.17763,1.22,0.09,0.838531813,1.04412,0.61,0.05,0.484655462,2.110875,0.915,0.07,0.661593637,0,12.576772,9.964025,7.513599,2.110875,0.280940599,513158.424,4495462.719,1579.011108,1579.092,0.080892,Deposited,2.619999,57.45,0.537999,0.987999,0.003199,5.309999,8.949999,5.309999,8.949999,2,Wagonwheel loam 2 to 5 percent slope
130,West,5,SideNorthface,198,7.44465,1.33,0.06,0.436284514,7.44465,1.06,0.03,0.166284514,7.44465,1.195,0.045,0.301284514,8.38848,5.497856,8.965748,7.617361333,-0.94383,-0.123905111,513135.533,4495365.499,1584.413696,1584.689,0.275304,Deposited,7.099999,40.099998,0.7649,0.952899,-0.002799,3.73,6.38,3.73,6.38,3,Colby loam 5 to 9 percent slope
131,West,5,Summit,200,10.70106,1.89,0.08,0.605358944,10.70106,1.52,0.04,0.235358944,10.70106,1.705,0.06,0.420358944,8.027152,9.74346,5.859184,7.876598667,2.673908,0.339474958,513113.631,4495267.782,1586.595581,1586.71,0.114419,Deposited,2.839999,163.210006,-0.9574,1.023,-0.000399,2.97,6.53,2.97,6.53,1,Wagonwheel loam 0 to 2 percent slope
132,West,5,Summit,202,8.90442,1.58,0.07,0.511042017,13.17144,1.99,0.05,0.408794718,11.03793,1.785,0.06,0.459918367,12.935328,9.653128,6.58184,9.723432,-1.897398,-0.195136655,513091.981,4495170.574,1585.097045,1585.133,0.035955,Unchanged,1.61,144.990005,-0.8191,1.011199,-0.004,2.329999,6.46,2.329999,6.46,2,Wagonwheel loam 2 to 5 percent slope
133,West,5,Summit,204,0.93183,0.73,0.08,0.618135654,2.3916,0.91,0.08,0.622893157,1.661715,0.82,0.08,0.620514406,0.15125,14.892384,10.99203,8.678554667,1.510465,0.174045686,513071.048,4495078.375,1584.601684,1584.608,0.006316,Unchanged,1.95,241.789993,-0.472699,1.008,-0.003199,2.44,6.38,2.44,6.38,1,Wagonwheel loam 0 to 2 percent slope
134,West,5,Summit,206,4.74969,1.24,0.08,0.669809124,7.78152,1.5,0.08,0.565843938,6.265605,1.37,0.08,0.617826531,5.478185,10.556448,7.62765,7.887427667,0.78742,0.099832294,513047.369,4494973.599,1581.425659,1581.529,0.103341,Deposited,3.19,161.699996,-0.9494,1.0255,-0.0024,2.519999,5.96,2.519999,5.96,2,Wagonwheel loam 2 to 5 percent slope
135,West,5,SideSouthface,208,8.23068,1.93,0.1,0.941923169,12.83457,2.06,0.07,0.519235294,10.532625,1.995,0.085,0.730579232,10.05748,12.206945,10.524755,10.92972667,0.475145,0.043472725,513026.157,4494878.44,1579.027832,1579.07,0.042168,Unchanged,2.42,176.160003,-0.997799,1.0204,0.002799,7.98,11.699999,7.989999,11.71,2,Wagonwheel loam 2 to 5 percent slope
136,West,5,SideSouthface,210,3.96366,1.26,0.1,0.784170468,12.16083,1.93,0.07,0.470116447,8.062245,1.595,0.085,0.627143457,5.046196,11.680382,6.852836,7.859804667,3.016049,0.383730783,513003.392,4494779.709,1577.380981,1577.326,-0.054981,Eroded,1.69,163.070007,-0.9567,1.0137,-0.000799,5.38,9.46,5.38,9.46,1,Wagonwheel loam 0 to 2 percent slope
138,East,4,SideSouthface,212,6.32175,1.36,0.07,0.601086435,10.47648,1.7,0.06,0.442319328,8.399115,1.53,0.065,0.521702881,6.29495,11.0926,9.1675,8.851683333,2.104165,0.237713542,512938.747,4494855.339,1579.834472,1579.792,-0.042472,Unchanged,3.23,142.11,-0.7892,1.0217,-0.0012,4.09,7.519999,4.09,7.519999,2,Wagonwheel loam 2 to 5 percent slope
139,East,4,Summit,213,8.0061,1.62,0.09,0.658883553,12.04854,1.85,0.06,0.403596639,10.02732,1.735,0.075,0.531240096,14.927444,5.959,5.1034,8.663281333,-4.900124,-0.565619863,512960.278,4494953.186,1581.586547,1581.672,0.085453,Deposited,2.73,133.470001,-0.688,1.0161,0.001599,4,7.599999,4,7.599999,2,Wagonwheel loam 2 to 5 percent slope
140,East,4,Summit,214,0.59496,0.64,0.08,0.56857623,8.0061,1.5,0.07,0.538883553,4.30053,1.07,0.075,0.553729892,2.9795,10.4509,9.216385,7.548928333,1.32103,0.1749957,512980.904,4495052.652,1582.851562,1582.77,-0.081562,Eroded,0.699999,217.429992,-0.794099,1.004799,0,3.45,8.409999,3.45,8.42,1,Wagonwheel loam 0 to 2 percent slope
141,East,4,Summit,215,10.58877,1.84,0.07,0.568839136,10.58877,1.65,0.05,0.378839136,10.58877,1.745,0.06,0.473839136,11.157548,8.094925,7.8841,9.045524333,-0.568778,-0.062879495,513001.033,4495145.786,1584.510131,1584.356,-0.154131,Eroded,2.95,221.460006,-0.7494,1.0188,-0.000399,3.63,7.15,3.63,7.15,2,Wagonwheel loam 2 to 5 percent slope
142,East,4,Summit,216,7.33236,1.52,0.08,0.639764706,15.8664,2.45,0.07,0.545270108,11.59938,1.985,0.075,0.592517407,8.7548,9.216385,8.3119,8.761028333,2.84458,0.32468563,513023.938,4495243.883,1586.849487,1586.809,-0.040487,Unchanged,3.44,217.850006,-0.7896,1.0231,-0.006,1.61,4.98,1.61,4.98,1,Wagonwheel loam 0 to 2 percent slope
143,East,4,Summit,217,4.86198,1.17,0.08,0.586328932,9.91503,1.7,0.07,0.509720288,7.388505,1.435,0.075,0.54802461,7.475324,13.349348,5.721884,8.848852,-0.086819,-0.009811329,513041.179,4495317.964,1587.860351,1587.89,0.029649,Unchanged,0.75,120.54,-0.508099,1.003299,0.000799,2.68,7.57,2.68,7.57,1,Wagonwheel loam 0 to 2 percent slope
